"","141 VC","144 VC","149 VC","155 VC","176 VC","177 VC","180 VC","94 VC","119 VC","121 VC","142 VC","143 VC","153 VC","178 VC"
"Hsf2",135.824034603589,180.530256938737,141.99124370905,183.470303537543,160.949039011206,148.047197247756,178.520384131697,198.861116288893,156.449293475053,179.744541404478,142.072681532275,168.749483658489,170.83298690526,143.742592537909
"Serinc1",35304.8003684391,31054.9073782205,41553.0504170484,38291.1932216367,39479.4942772406,35910.4985784556,33840.2029852357,37290.6179967134,32668.5680937596,32959.263452845,32576.4301536945,34932.3069068497,40156.6330047046,35610.896351336
"Fabp7",612.979773558808,750.82070962726,853.092552929372,528.065168515108,742.975563867945,779.644232988182,909.243651382628,433.260150697854,682.687826072961,578.204785845378,784.384468627768,505.084661432994,552.758963999185,661.925765637531
"Smpdl3a",360.228961339955,454.565929009845,353.833018597552,274.029363616971,345.387937769993,284.378429245689,261.729037752404,253.302182345168,285.342177303933,245.756917230016,308.023124666612,263.016436598748,258.969750850012,251.993186918309
"Gcc2",2.36215712354069,5.55477713657652,6.8705440504379,3.52827506802968,0.869994805465977,1.06508774998385,0,3.02450366979305,5.33349864119501,4.77197897534012,2.3877761602063,1.16378954247234,4.35243278739516,3.54919981575083
"Lims1",61.4160852120579,69.4347142072065,60.6898057788681,68.2133179819071,69.5995844372782,87.3371954986761,77.1571151755641,86.1983545891019,85.3359782591201,96.2349093360258,50.1432993643322,84.9566366004806,65.2864918109274,69.2093964071413
"Ranbp2",542.115059852588,556.403509847082,642.395868715943,648.026520828117,667.286015792404,591.123701241039,649.02749824151,563.313808498955,500.459955832131,574.228136699262,553.964069167861,601.679193458198,675.715190243098,560.773570888632
"Sh3rf3",70.8647137062206,76.8410837226419,44.6585363278463,78.7981431859961,68.7295896318122,73.491054748886,37.8221152821393,64.2707029831023,61.3352343737426,84.3049618976755,71.6332848061889,89.61179477037,83.7843311573568,33.7173982496329
"Sowahc",498.415153067085,1418.31976220587,492.388990281383,451.619208707798,547.2267326381,429.230363243494,419.069037326103,438.553032119992,528.016365478305,458.905311461875,414.279163795792,456.205500649156,449.38868529855,512.859373375996
"Mcu",3.54323568531103,2.77738856828826,2.29018135014597,5.88045844671613,0,9.58578974985469,6.05153844514228,3.78062958724131,1.77783288039833,8.74862812145689,8.35721656072204,4.65515816988935,0,1.77459990787542
"Micu1",310.6236617456,315.696500595432,240.469041765326,475.141042494663,236.638587086746,280.118078245754,275.344999253974,327.402522255097,256.896851217559,345.968475712159,351.003095550325,360.774758166425,349.282731188461,181.009190603293
